127.0.0.1 - - [26/May/2023:13:35:07 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7345
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=7A3C41804883EE7BAE8D966385B773F1 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:13 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [26/May/2023:13:35:59 -0600] "POST /restaurante-web/login.xhtml;jsessionid=7A3C41804883EE7BAE8D966385B773F1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/adminrestaurantes.xhtml HTTP/1.1" 200 18348
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurant1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurante2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/cheff-restaurant.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/tokio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/Los_Chilaquiles_logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:00 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurant3estrellas.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:01 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/admintiporestaurantes.xhtml HTTP/1.1" 200 19929
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:03 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/adminrestaurantes.xhtml HTTP/1.1" 200 18342
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:06 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/admintiporestaurantes.xhtml HTTP/1.1" 200 19929
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:36:09 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
