127.0.0.1 - - [30/Jun/2023:13:32:58 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:00 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:00 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:00 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=98B9574111FC17FF95BD3FA2488738E4 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:01 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:06 -0600] "POST /restaurante-web/login.xhtml;jsessionid=98B9574111FC17FF95BD3FA2488738E4 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:06 -0600] "GET /restaurante-web/menuempleado.xhtml HTTP/1.1" 500 16118
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7375
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
