127.0.0.1 - - [04/Jul/2023:10:04:19 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:22 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:22 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:22 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=FBAE8857158A27D2024D39B488D09D61 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:04:23 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:00 -0600] "POST /restaurante-web/login.xhtml;jsessionid=FBAE8857158A27D2024D39B488D09D61 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:01 -0600] "GET /restaurante-web/adminmenu.xhtml HTTP/1.1" 200 21044
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource//resources/images/alimentos/espaguetiBlanco.jpg.xhtml HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/resources/images/alimentos/naranjadaMineral.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/resources/images/alimentos/tacoCarnitas.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:02 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/adminempleados.xhtml HTTP/1.1" 200 14453
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 200 15217
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 200 26894
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 200 66682
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/alert.js.xhtml?ln=bsf HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:10:05:05 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
